method,val_roc_auc,test_roc_auc,test_pr_auc,test_accuracy,test_precision,test_recall,test_f1,threshold
constant_train_positive_rate,0.5,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
train_only_popularity,0.7396193,0.7095256999999999,0.6759193733645183,0.6074,0.5674792661472732,0.9032,0.6970211452384627,0.308
content_jaccard_diff,0.62435748,0.61118428,0.5877201854603645,0.5188,0.509995746490855,0.9592,0.6659261316301027,-0.0883176098396228
safe_logistic_regression,0.71756272,0.7182949200000001,0.6915540777078546,0.6144,0.5713394861561487,0.9162,0.7037947457366723,0.301
safe_catboost_conservative,0.80193728,0.77993848,0.7672142656290277,0.6773,0.6271332281657823,0.8746,0.7304769063726718,0.365
safe_catboost_plus_popularity,0.8159916400000001,0.79452272,0.7859442481402255,0.6961,0.6496261254387303,0.8514,0.736951441184108,0.387
itemknn_cf_sample_history,0.6488297,0.63607978,0.599977638577975,0.5603,0.536,0.8978,0.6712523364485982,-0.0009188940185122182
