method,val_roc_auc,test_roc_auc,test_pr_auc,test_accuracy,test_precision,test_recall,test_f1,threshold,best_iteration,n_features
safe_catboost_plus_popularity_reproduced,0.8159916400000001,0.79452272,0.7859442481402255,0.6961,0.6496261254387303,0.8514,0.736951441184108,0.387,136,27
safe_catboost_plus_popularity_semantic,0.8157970800000001,0.79405864,0.7842481236216172,0.7024,0.658422041327489,0.8412,0.7386722866174921,0.403,118,34
