split,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold
validation,0.7695355,0.7528604184800031,0.711,0.6773109243697479,0.806,0.7360730593607306,0.41999999999999993
test,0.766032,0.747296637910032,0.697,0.6658249158249159,0.791,0.7230347349177331,0.41999999999999993
