split,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold
validation,0.780475,0.763604747470536,0.7055,0.6640063846767758,0.832,0.7385707944962272,0.37999999999999995
test,0.7683575,0.7424882816101999,0.6915,0.6525896414342629,0.819,0.7263858093126386,0.37999999999999995
