split,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold
validation,0.7705175,0.7522822466889741,0.6985,0.6537567776917118,0.844,0.736796158882584,0.36999999999999994
test,0.7608705,0.7401716128688555,0.6865,0.6455893832943014,0.827,0.7251205611573871,0.36999999999999994
