variant,split,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold
semantic_only,val,0.7100428999999999,0.6776342555831132,0.6442,0.6029117898943762,0.8448,0.703648175912044,0.37
semantic_only,test,0.6973864000000001,0.6562717335960937,0.6385,0.5994256999282125,0.835,0.6978687839531968,0.37
numeric_safe_without_semantic,val,0.84023512,0.8391061934082819,0.7496,0.7113821138211383,0.84,0.7703595011005135,0.37
numeric_safe_without_semantic,test,0.8185938600000001,0.8100447354043293,0.7153,0.6659472791737321,0.864,0.7521546095586314,0.37
numeric_safe_plus_semantic,val,0.8410643199999999,0.8405242558019334,0.7572,0.7289070843716625,0.819,0.7713317008852891,0.4
numeric_safe_plus_semantic,test,0.81951142,0.810961295023907,0.7249,0.6811080689321952,0.8458,0.7545722187527879,0.4
