stage,split,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold
qlora_checkpoint,val_pilot,0.7962935,0.7923404137570969,0.718,0.6831932773109244,0.813,0.7424657534246575,0.44
qlora_checkpoint,test_pilot,0.795959,0.7900838560066099,0.7145,0.6771263418662262,0.82,0.741745816372682,0.44
